year,round,type,institute,program,quota,category,gender,orank,crank
2017,7,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","OPEN (PwD)","NA",51,51
2017,7,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","OBC-NCL","NA",763,1611
2017,7,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","SC","NA",137,733
2017,7,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","ST","NA",124,536
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",74,266
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",6,6
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",60,158
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","NA",8,8
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",14,80
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",3,27
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",345,510
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",189,414
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",103,168
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC (PwD)","NA",7,7
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",126,187
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",270,471
